26,26,2
502,502,0
0,0
0,24
0,48
0,72
0,96
0,120
0,144
0,168
0,192
0,216
0,240
0,288
0,312
0,336
0,360
0,384
0,408
0,432
0,456
0,480
0,504
24,0
48,0
72,0
96,0
120,0
144,0
168,0
192,0
216,0
264,0
288,0
312,0
336,0
360,0
384,0
408,0
432,0
456,0
480,0
504,0
528,0
528,24
528,48
528,72
528,96
528,120
528,144
528,168
528,192
528,216
528,240
528,288
528,312
528,336
528,360
528,384
528,408
528,432
528,456
528,480
528,504
0,528
24,528
48,528
72,528
96,528
120,528
144,528
168,528
192,528
216,528
264,528
288,528
312,528
336,528
360,528
384,528
408,528
432,528
456,528
480,528
504,528
528,528
48,48
48,72
48,96
48,144
48,168
48,192
48,216
48,264
48,312
48,336
48,360
48,384
48,432
48,456
48,480
72,48
72,72
72,96
72,144
72,168
72,192
72,216
72,264
72,312
72,336
72,360
72,384
72,432
72,456
72,480
120,48
120,72
120,96
120,144
120,216
120,240
120,264
120,288
120,312
120,384
120,432
120,456
120,480
144,144
144,264
144,384
168,24
168,48
168,72
168,96
168,144
168,168
168,192
168,216
168,264
168,312
168,336
168,360
168,384
168,432
168,456
168,480
168,504
192,24
192,48
192,72
192,96
192,144
192,384
192,432
192,456
192,480
192,504
216,24
216,48
216,72
216,96
216,144
216,216
216,240
216,264
216,288
216,312
216,384
216,432
216,456
216,480
216,504
240,216
240,240
240,264
240,288
240,312
264,24
264,48
264,72
264,96
264,144
264,216
264,240
264,264
264,288
264,312
264,384
264,432
264,456
264,480
264,504
288,24
288,48
288,72
288,96
288,144
288,384
288,432
288,456
288,480
288,504
312,24
312,48
312,72
312,96
312,144
312,216
312,240
312,264
312,288
312,312
312,384
312,432
312,456
312,480
312,504
336,264
360,48
360,72
360,96
360,168
360,192
360,216
360,264
360,312
360,336
360,360
360,432
360,456
360,480
384,96
384,432
408,24
408,48
408,96
408,168
408,216
408,240
408,264
408,288
408,312
408,360
408,432
408,480
408,504
432,168
432,264
432,360
456,72
456,96
456,120
456,144
456,168
456,192
456,216
456,264
456,312
456,336
456,360
456,384
456,408
456,432
456,456
